4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
produktiv	 productive
produzieren	 to produce
produzierend	 producing
produzierend	 productive
produzierend	 secreting
produziert	 (''especially in combination'') produced
professionell	 professional
profitieren	 To benefit
profitieren	 To profit
prognostizieren	 to predict
programmierbar	 programmable
programmieren	 to program (enter a program or other instructions into a computer)
progressiv	 progressive (increasing in rate as the taxable amount increases)
proinflammatorisch	 proinflammatory
projizieren	 to project (cast (image/shadow))
prokrastinieren	 To put off; to delay taking action; to wait until later, to procrastinate
proletarisch	 proletarian
prononciert	 pronounced
proper	 clean
prophezeien	 to prophesy
prophylaktisch	 prophylactic, preventive
propädeutisch	 propaedeutic (providing preparatory or introductory teaching)
prosaisch	 prosaic
prospektiv	 prospective
prost	 the usual toast when drinking alcohol; cheers
prosten	 to raise one's glass, to toast
prosthetisch	 prosthetic
protegieren	 to sponsor
protektiv	 protective
protestieren	 to protest (to make a strong objection)
protokollieren	 to record, protocol, take minutes of
protzig	 pompous, pretentious
provisorisch	 provisional
provokant	 provocative, provoking
provozieren	 to provoke
prozessieren	 to litigate (to go to law)
prusten	 to snort (especially with laughter)
prusten	 to splutter
prächtig	 splendid, wonderful
prägen	 to mint
prägen	 to characterize
prägnant	 concise
prägnant	 pithy
prähistorisch	 prehistoric
präkambrisch	 Precambrian
präparativ	 preparative
präpubertierend	 prepubescent
präpubertär	 prepubescent
prätentiös	 pretentious
präventiv	 preventive
präzise	 precise
prüde	 prudish
prüfen	 to examine
prüfend	 searching
prüfend	 shrewd
prügeln	 to beat (up), to strike
pseudo-riemannsche Mannigfaltigkeit	 pseudo-Riemannian manifold
psychedelisch	 psychedelic
psychiatrisch	 psychiatric
psychiatrische Anstalt	 psychiatric hospital
psychisch	 psychical
psychoaktiv	 psychoactive
psychologisch	 psychological
psychopatisch	 psychopathic
psychosomatisch	 psychosomatic
psychotaktisch	 psychotactical
psychotisch	 psychotic
pubertieren	 to go through puberty
pubertierend	 pubescent
pubertär	 pubescent, pubertal
puddeln	 To puddle
pudern	 to powder
puh	 phew!
pulsieren	 to pulsate
pulverförmig	 powdery
pulvrig	 powdery
pumpen	 to pump
punkten	 to score
punktförmig	 punctate, punctiform
punktuell	 pointwise
punktuell	 selective
pupsen	 to fart (to emit flatulent gases)
pur	 pure (free of flaws or imperfections)
purpurfarben	 crimson
pusten	 to blow
putschen	 to organize a coup d'état
putzig	 cute, sweet
putzig	 funny, comical
pyramidenförmig	 pyramidal
pyrogen	 pyrogenic
pyrogen	 pyretic
pyrrhisch	 pyrrhic
pädophil	 pedophile
päpstlich	 papal
pünktlich	 punctual
pürieren	 to puree
quadratisch	 quadratic, square
quadrieren	 to square
qualitativ	 qualitative
qualmen	 to fume
quantenphysikalisch	 quantum physics (attributive), quantum mechanical
quantisieren	 to quantize
quantitativ	 quantitative
quartalsweise	 quarterly
quasi	 effectively, as it were
quasseln	 jabber, natter, palaver, yap, gab, jaw, twaddle, rattle on, rabbit on (to talk a lot or talk nonsense)
quatschen	 to talk nonsense
quatschen	 to chatter, babble
quellen	 to well
quellen	 to swell, to soak
quer	 crosswise, cross
quer	 crosswise, across
quetschen	 to squeeze, to squish
quietschen	 to squeak
quietschend	 squeaky
quietschfidel	 extremely cheerful
quälen	 to torment, agonize, smite
rabbinisch	 rabbinical (referring to rabbis, their writings, or their work)
rachsüchtig	 vindictive
radebrechen	 to smatter (intransitive: talk superficially)
radfahren	 To cycle, to ride a bike
radieren	 to etch (to engrave)
radieren	 to erase, rub out
radikal	 radical
radikalisch	 radical
radikalisch	 radically
radikalisieren	 to radicalize, to radicalise
radioaktiv	 radioactive
radioaktiver Abfall	 radioactive waste
radioaktiver	 Form of radioaktiv, used before masculine nouns, like in radioaktiver Zerfall
raffiniert	 refined
raffiniert	 clever, cunning
raffiniert	 sophisticated
ramifizieren	 to ramify (to divide into branches)
rammen	 to ram
ramponieren	 to damage
ranghoch	 high-ranking
ranzig	 rancid
rappelvoll	 chock full
rappen	 To rap
rar	 rare (very uncommon)
rasant	 rapid
rasch	 quick, rapid, swift
rasend	 raging, frantic
rasieren	 to shave
rasiert	 shaved
rassengemischt	 racially|Racially mixed.
rasten	 to rest
rastlos	 restless
rationale Zahl	 rational number (quotient of integers)
ratlos	 at a loss
ratsam	 advisable
rau	 rough
rauben	 to take away
rauchen	 to smoke
rauchig	 smoky
raufen	 to brawl
raumzentriert	 body-centered
rauschen	 to rustle, murmur
rauskriegen	 to find out, catch wind of
rausschmeißen	 to kick out
reagieren	 to react; to respond
reaktionsfreudig	 responsive
reaktionär	 reactionary
reaktiv	 reactive
real	 That is a version of a fact or statistic (especially in economics) that is intended to reflect key fundamental trends.
realisieren	 to realize (to make real, to carry out, to implement)
realisieren	 to realize (to become aware of)
realistisch	 realistic
realsozialistisch	 real socialist<!--see w:Real socialism-->
rebellieren	 to rebel
recherchieren	 to research, to investigate
rechnen	 to count
rechnen	 to reckon
recht	 right (direction).
recht	 proper, correct.
recht	 true, real.
recht	 just, lawful.
recht	 well, right
recht	 very
recht	 exactly
rechte Hand	 right hand
rechte Hand	 right-hand man, right-hand woman
rechteckig	 rectangular
rechtfertigen	 to justify ''(provide an explanation or reason)''
rechthaberisch	 Of a person, tending to consider himself right when disagreeing with other people; self-opinionated.
rechtlich	 legal
rechtlich	 lawful
rechtmäßig	 rightful
rechts	 on the right: ''Siehst du das Auto rechts?''
rechts	 pars pro toto for ''right-wing extremistic''
rechtschaffen	 righteous, virtuous
rechtsdonauisch	 on the right side of the Danube
rechtsdrehend	 dextrorotatory
rechtselbisch	 on the right side of the Elbe
rechtshin	 toward the right
rechtsprechend	 judicial; interpreting the law or pertaining to the interpretation of the law
rechtsrheinisch	 on the right (thus: east) side of the Rhine
rechtswidrig	 unlawful
rechtzeitig	 punctual
rechtzeitig	 in time
rechtzeitig	 on time
recyclingfähig	 recyclable
redegewandt	 eloquent
reden	 to talk
redselig	 talkative
reduzieren	 to reduce
reduzierend	 reducing
reduziert	 reduced (all senses)
reduziert	 shortened
reell	 not virtual
reelle Zahl	 real number (element of the real numbers)
referenzieren	 to reference (to refer to)
referieren	 to report
referieren	 to refer
reflektieren	 to reflect
reformieren	 to reform
rege	 lively
rege	 ''Form of regenGerman|regen''
regelbar	 adjustable
regelbar	 variable
regelmäßig	 steady; measured; regular
regelmäßig	 frequent
regelmäßig	 periodic
regeln	 to regulate
regenerieren	 to regenerate (to construct or create anew, especially in an improved manner)
regieren	 to govern
registrieren	 to register
registrieren	 to notice
registriert	 registered
reglementieren	 to regularize; to regiment
regnen	 to rain
regnerisch	 rainy
regulieren	 to regulate
regulär	 regularly
reich	 rich
reichen	 to reach
reichen	 to pass, to hand, to give
reichen	 to be sufficient
reichhaltig	 comprehensive
reichhaltig	 ample, extensive, substantial
reichhaltig	 rich
reichlich	 abundant, plentiful
reif	 ripe
reifen	 to ripen
reihenweise	 serially
reimen	 to rhyme
rein	 pure, clear, plain
rein	 purely
reinigen	 to clean
reinlich	 cleanly
reinstitutionalisieren	 to reinstitutionalize
reizbar	 irritable
reizbar	 irascible
reizen	 to excite
reizen	 to tease, tantalize
reizen	 to provoke
reizend	 lovely
reizend	 charming, delightful
reizend	 cute
rekapitulieren	 to recapitulate
rekonstruieren	 to reconstruct
rekordverdächtig	 possibly record-breaking
rekrutieren	 to recruit
rektal	 ''(medicine)'' rectal (of -, via - or related to the rectum)
rekursiv	 recursive (mathematics: of an expression, in which each term is determined by applying a formula to preceding terms)
relativ	 relative
religiös	 religious
renaissancistisch	 Renaissance (relating to the Renaissance)
rennend	 Present participle of ''rennen''.
renommieren	 to boast, to brag 
renommiert	 renowned
renovieren	 to renovate
renoviert	 renovated
renovierungsbedürftig	 needing refurbishment
reparierbar	 repairable, fixable
reparieren	to repair
repressiv	 repressive
repräsentativ	 representative (typical)
repräsentieren	 to represent (to stand in the place of)
republikanisch	 republican
republikanisch	 Republican
reservieren	 to reserve
resolut	 resolute
resorbierbar	 absorbable
resorbierbar	 resorbable
respektieren	 to respect
respektlos	 disrespectful
restlich	 remaining, residual, vestigial
resultierende	 resulting
resultiert	 resulted
retransloziert	 retranslocated
retten	 to save
retten	 to rescue
retuschieren	 to retouch
reuen	 to regret, to be sorry (for), to rue
reuen	 to repent (of)
revanchistisch	 revanchist
reversibel	 reversible
revidieren	 to revise
revoltieren	 to revolt
revolutionieren	 to revolutionize
revolutionär	 revolutionary
rezeptfrei	 non-prescription, over-the-counter
rezitieren	 to recite
reüssieren	 to succeed
rheinisch	 Rhenish; of or pertaining to the Rhine or to the Rhineland
rhetorisch	 rhetorical
rhetorische Frage	 rhetorical question
rhetorische	 Inflected form of rhetorisch
rhombisch	 rhombic
rhythmisch	 rhythmic
richten	 to direct
richten	 to judge
richtig	 correct, accurate, right
riechend	 smelly, odorous, osmic
riemannsche ζ-Funktion	 Riemann zeta function
riemannsche Mannigfaltigkeit	 Riemannian manifold
riesengroß	 giant
riesig	 gigantic, huge
rigide	 rigid (uncompromising)
rigoros	 rigorously
ringförmig	 ring-shaped, annular
ringförmig	 circular
rinnen	 to flow
rinnen	 to leak
rinnen	 to run
rinnen	 to trickle
ripuarisch	 Ripuarian (related to the Ripuarians or their language)
riskant	 risky
riskieren	 to risk
ritterlich	 chivalrous, knightly
rittlings	 astride (with one’s legs on either side)
ritzen	 to scratch
robben	 to wriggle like a seal
roden	 to clear (a forest)
roden	 to make arable
roh	 unprocessed; raw; crude
romanisch	 Romance
romanisch	 Romanesque
romanische Sprache	 Romance language (European language descended from Latin)
romantisch	 romantic
romantisieren	 to romanticize, to romanticise
rosa	 pink
rosarot	 rose-red; pink, rosy
rosig	 rosy
rosten	 to rust
rostfrei	 stainless (literally, "free of rust")
rostig	 rusty
rot	 red
rot	 red-haired (''short for rothaarig'')
rotbraun	 reddish brown
rotbraun	 bay (colour of a horse)
rotbraun	 auburn
rotbräunlich	 brownish-red
rote Karte	 red card
rotgesichtig	 Red-faced (i.e. drunk)
rotglühend	 red-hot
rotieren	 to rotate
rotviolett	 red-violet (in colour)
routiniert	 experienced
ruchlos	 henious
ruchlos	 nefarious
ruchlos	 profane
ruchlos	 unholy
ruckeln	 to jerk
rudern	 to row (transitive: to propel over water using oars)
rudimentär	 rudimentary
rufen Sie die Polizei	 call the police
ruhelos	 restless
ruhig	 quiet
ruhig	 calm
ruhig	 quietly
ruhig	 calmly
ruinieren	 to ruin
rumalbern	 to goof off, to fuck around
rumkümmeln	 to hang out, in an especially sluggish manner; to loaf
rummeln	 to rumble
rumänisch	 Romanian (of or relating to Romania, its people, or language)
rund	 round, rounded, ''similar as in English, especially:''
rund	 circular
rund	 spherical, globular, ball-shaped
rund	 corpulent, thick
rund	 around
rund	 roughly, approximately, about
runden	 to round
runder Tisch	 round table
runterkippen	 to down (to drink or swallow)
russisch	 Russian
russlandweit	 Russia-wide; in all of Russia
rustikal	 rustic (country-styled)
rutschen	 to slide
rutschig	 slippery
räsonieren	 to reason, to argue
rätselhaft	 puzzling
rätselhaft	 mysterious
rätseln	 to puzzle over
räuchern	 to fumigate, cure
räumen	 to clear
räumlich	 spatial
räumlich	 solid, three-dimensional
rödeln	 to work (hard, especially to get something)
rödeln	 to lash, to bind (especially with wires)
römisch	 Roman
römisch-katholisch	 Roman Catholic
röntgen	 to X-ray
rösten	 To toast, roast or parch
rötlich	 reddish
rötlich-braun	 reddish-brown, auburn
rötlichbraun	 reddish-brown
rückblickend	 retrospective
rückgängig machen	 undo
rückläufig	 declining
rückwirkend	 retroactive
rückwärtig	 rear, back
rückwärtig	 rearward, backward
rückwärts	 backwards
rüde	 rude, harsh
rüffeln	 to reprimand
rügen	 to reprove (to convey one's disapproval of in a gentle, kind, sweet tone)
rügensch	 from or pertaining to Rügen; Rugian
rührig	 active (given to action rather than contemplation)
rülpsen	 to burp
rüsten	 to equip
rüsten	 to prepare
s. o.	 Abbreviation of: siehe oben ("see above")
s. u.	 Abbreviation of: siehe unten ("see below")
s. unten	 Abbreviation of: siehe unten (“see below”)
s. d.	 sieheGerman|siehe dortGerman|dort (see there)
sabbeln	 jabber, gab, rattle on, rabbit on (to talk a lot and quickly, or to talk nonsense)
sabbern	 to drivel, to drool
sachdienlich	 pertinent, relevant, helpful
saftig	 juicy
sagenhaft	 fabulous, legendary
saisonal	 seasonal
sakrosankt	 sacrosanct
salopp	 casual
salopp	 sloppy
salpetrig	 nitrous
salutieren	 to salute (make a gesture in honor of someone or something)
salvadorianisch	 Salvadoran
salzartig	 saltlike
salzartig	 saline
salzend	 Present participle of ''salzen''.
salzhaltig	 saline
salzig	 salty
salztolerant	 salt-tolerant
sammelnd	 collecting
samoanisch	 Samoan
samt und sonders	 the whole lot
samt	 only used in the phrase: samt und sonders
samt	 together with
sanft	 gentle
sanftmütig	 gentle, meek
sanieren	 to redevelop
sanieren	 to reconstruct
saniert	 renovated, reconstructed, rehabilitated, redeveloped
sanktionieren	 to sanction
sardisch	 Sardinian (related to Sardinia, the Sardinians or their language)
sarkastisch	 sarcastic
satanisch	 satanic
satirisch	 satiric, satirical
satt	 satiated, full (having eaten enough food)
satt	 full
satteln	 to saddle
sauber	 clean
saubermachen	 to clean
saudi-arabisch	 Saudi Arabian (pertaining to Saudi Arabia)
sauer	 sour
sauer	 acidic
sauer	 unpleasant
sauerstoffangereichert	 oxygenated (oxygen enriched)
sauerstofffrei	 oxygen-free
sauerstofffrei	 anaerobic
sauerstoffhaltig	 oxygen-containing
sauerstoffproduzierend	 oxygen-producing
sauerstoffreich	 oxygenated, oxygen-rich
saukalt	 very cold
saure	 Inflected form of sauer
sauren	 acidic, sour
saurer Regen	 acid rain (unusually acidic rain)
saus	 ''second-person singular imperative of sausen''
sausen	 to rush
sausen	 to dash, to whizz
sautieren	 to sauté
saß	 past tense of sitzen
scannen	 to scan
schachern	 to haggle
schachmatt	 checkmate (said when making the conclusive move in chess)
