A positivo	 A positive (blood type)
seriedade	 gravity
seriedade	 seriousness
seriedade	 importance
seringa	 syringe
seringueira	 rubber tree.
sermão	 sermon
serpente	 serpent
serval	 servalEnglish|serval (Leptailurus serval)
servidão	 serfdom
servidão	 servitude
servil	 servile
servil	 subservient
servir	 To serve
serviçal	 serviceable
serviçal	 helpful
serviçal	 servant
serviço	 work; labour
serviço	 job; a task
serviço	 workplace
serviço	 the way a commercial establishment serves the costumers
servo	 servant
servo	 serf
serão	 overtime
sessenta	 sixty.
sessenta	 sixty.
sessão	 session (a period devoted to a particular activity)
seta	 arrow.
sete	 seven.
sete	 seven.
setecentos	 seven hundred.
setecentos	 seven hundred.
seteira	 loophole.
setembro	 September
setenta	 seventy.
setenta	 seventy.
setingentésimo	 seven hundredths
setuagésimo	 seventieth
severidade	 severity
severo	 severe
severo	 strict
sexagenário	 sexagenarian
sexagenário	 sexagenarian
sexagésimo	 sixtieth
sexagésimo	 sixtieth
sexcentésimo	 six hundredths
sexo	 gender
sexo	 sex (the act)
sexo anal	 anal sex
sexo oral	 oral sex (stimulation of the genitals using the mouth)
sexologia	 sexology
sexta-feira	 Friday (day of the week)
sexto	 sixth
sexualidade	 sexuality
sexualmente	 sexually
sezão	 ague
seção cônica	 See main entry at ''cônica''.
shopping	 shopping center
siderurgia	 iron and steel industry
sideróforo	 siderophore
siderúrgico	 steel (especially the steel industry) (attributive)
sidónio	 Sidonian (person from Sidon)
sidónio	 Sidonian (of or relating to Sidon)
sifilítico	 Of or relating to syphilis; syphilitic.
sifilítico	 infected|Infected with syphilis; syphilitic.
sigilo	 secrecy
signatário	 signatory
signatário	 signatory
significado	 meaning.
significantemente	 significantly
significar	 mean, signify
significativamente	 significantly
significativo	 significant
significação	 significance
silencioso	 silent
silencioso	 quiet
silicoso	 siliceous
silvestre	 That has grown in a woodland; woodland.
silêncio	 silence (the lack of any sound)
silício	 silicon
sim	 affirmatively, yes
simbolizar	 To symbolize, represent, typify
simbólico	 symbolic
simetria	 great similarity between two things
similaridade	 similarity
similaridade	 resemblance
simpaticamente	 sympathetically
simpatizante	 Who sympathizes (with something); sympathizer.
simples	 simple
simplesmente	 simply, merely
simplesmente	 purely
simplicidade	 simplicity
simplicidade	 homeliness
simplificar	 to simplify
simplório	 simple, humble
simplório	 facile
simpático	 Of or relating to sympathy; sympathetic.
simpático	 Showing sympathy; sympathetic.
simpático	 Prone to display sympathy; sympathetic; nice.
simpósio	 symposium
simular	 to simulate
simulação	 simulation
simultaneamente	 simultaneously, occurring at the same time
simultâneo	 simultaneous
sina	 destiny
sinal	 sign
sinal	 signal
sinal	 traffic light
sinalização	 signalling
sincero	 Meaning what one says or does; truthful; sincere.
sincopar	 to syncopate
sincronizar	 to synchronize
sincronização	 synchronization
sindicato	 trade union (organization)
sindicância	 inquiry, investigation, inquest
sinergia	 synergy
sinfonia	 symphony
singelamente	 simply
singelamente	 candidly, sincerely
singelamente	 naively
singeleza	 simplicity
singeleza	 sincerity
singeleza	 naivety
singelo	 simple
singelo	 sincere
singelo	 naive
sininho	 little bell
sino	 bell
sino	 Chinese
sintaxe	 syntax
sinterizar	 To sinter
sinterização	 sintering
sintética	 feminine singular form of '''sintéticoPortuguese|sintético'''
sintético	 synthetic
sinuca	 snooker
sinuosidade	 sinuosity
sináptico	 synaptic
sinédoque	 synecdoche
sinérgico	 synergistic
sinónimo	 synonymous
sinónimo	 synonym
sirena	 mermaid; siren
siri	 crab
siriri	 winged male or female termite during breeding season
sismogênico	 seismogenic
siso	 sense, judgment
sistema	 system
sistema nervoso	 nervous system
sistemática	 systematics (the science of systematic classification)
sistémico	 systemic
situar	 To situate, locate
situação	 situation (one's status with regard to circumstances)
soalheiro	 sunny
soar	 make a sound
sob	 under
sobejamente	 widely
soberanamente	 regally, royally
soberba	 pride
soberba	 arrogance, presumption
sobradão	 two-storey house
sobranceiro	 dominating
sobranceiro	 proud, arrogant, haughty, disdainful
sobrançaria	 arrogance, disdain
sobrançaria	 sleaze
sobrar	 To remain, be left
sobrecarregar	 To overload, overburden
sobrecarregar	 To supercharge
sobrecasaca	 overcoat (formal)
sobreiro	 cork oak.
sobremaneira	 greatly, intensely
sobremodo	 greatly
sobrenome	 surname.
sobrepor	 To overlap, superimpose
sobrepor	 To supersede
sobreposição	 overlap
sobreposição	 superposition
sobrepujar	 To surpass, surmount, exceed
sobrepujar	 To overcome
sobretudo	 overcoat.
sobrevida	 survival
sobrevir	 To supervene
sobrevir	 To occur
sobrevivente	 surviving
sobrevivente	 surviving
sobreviver	 survive
sobreviver	 outlive
sobreviver	 keep going, keep on
sobrevivência	 survival (continued existence or life)
sobriedade	 sobriety
sobrinha	 niece
sobrinho	 nephew
socialismo democrático	 democratic socialism
socialístico	 Socialist, socialist, socialistic
sociocracia	 sociocracy
soco	 A hit with one's hand; a punch.
soco-inglês	 knuckle duster/brass knuckles
socorrer	 To help
socorrer	 To rescue
socorrer	 To succor
socorro	 help!
sodomiza	 Third-person singular present indicative form of '''sodomizar'''.
sodomiza	 Second-person singular present imperative form of '''sodomizar'''.
sodomizar	 to sodomize
soez	 vile, low, unworthy
sofista	 sophist (all senses)
sofregamente	 greedily
sofreguidão	 greed, greediness
sofreguidão	 craving
sofreguidão	 ambition
sofrer	 to suffer, endure, bear, undergo, put up with
sofrimento	 a prolonged physical or emotional distress
sofrologia	 sophrology
softbol	 softball
softebol	 softball
sofá	 sofa
sogro	 father-in-law
sois	 (''second-person plural indicative present of ser'') you are.
sol	 sun
sola	 sole (of the foot)
sola	 sole (of a shoe or boot)
solado	 sole (of a shoe or boot).
solar	 mansion
solarengo	 solar
solarengo	 sunny
soldado	 soldier (member of an army)
soldado	 soldered (joined together by soldering)
soldador	 soldering iron
soldador	 welder
soldagem	 welding
soldar	 to weld (to join materials (especially metals) by applying heat)
soleira	 threshold, doorstep
solicitador	 solicitor
solidez	 solidness
solidificação	 solidification
solidificação	 setting
solidário	 solidary, supportive, sympathising
solidão	 loneliness
solidéu	 zucchetto
solidéu	 skullcap.
solitário	 solitary, lone
solitário	 solitaire (gemstone)
solo	 soil, ground
solstício	 solstice
soltar	 to release, to let go
solteiro	 single
solteiro	 unmarried
solteiro	 celibate
solteiro	 bachelor
solto	 loose; free
solubilidade	 solubility
solubilizante	 solubilizing
solubilizar	 To solubilize
solubilização	 solubilization
soluçar	 To hiccup 
soluço	 hiccup
solução	 solution
solvência	 solvency
solúvel	 soluble
som	 sound
soma	 sum (quantity of money)
somar	 to have the quantity specified by the grammatical object as the total amount of the subject
sombra	 shade
sombra	 shadow
sombrinha	 Cloth-covered frame used for protection against rain or sun; an umbrella.
sombrio	 shady, gloomy, dark, dingy
somenos	 minor
somenos	 shoddy
somenos	 ordinary
somente	 just, only, merely
sonambulismo	 somnambulism, sleepwalking
sonda espacial	 space probe
soneto	 sonnet
sonhador	 dreaming
sonhador	 dreamer
sonhador	 daydreamer
sonhador	 visionary
sonhar	 to dream (see imaginary events while sleeping)
sonhar	 to dream (wish)
sonho	 dream
sono	 sleep
sono	 sleepiness
sonolento	 Feeling the need to sleep; sleepy, drowsy.
sonolência	 somnolence
sonolência	 slumber
sonâmbulo	 somnambulant
sonâmbulo	 somnambulist, sleepwalker
soo	 ''first-person singular indicative present of soar''
sopa	 soup
soprar	 to blow
soprar	 to whisper
sorridente	 Who smiles; smiling.
sorrir	 to smile
sorrisinho	 Diminutive of sorriso.
sorriso	 smile (a happy face expression using mouth, but without producing voice)
sorte	 fate
sorte	 luck
sortudo	 lucky
soslaio	 sideways look
sossegadamente	 quietly, placidly
sossegado	 calm, tranquil, quiet
sossegar	 To settle, calm down, relax
sossego	 quiet, peace, calm
soturno	 sombre, gloomy, sad, dismal
soturno	 ghastly, grim
sou	 ''first-person singular present of ser''
soviético	 soviet
sozinho	 alone.
sozinho	 on one's own|on one’s own.
sozinho	 by oneself, to oneself.
stável	 stable, sound
stável	 steady
suar	 to sweat
suavidade	 softness
suavidade	 smoothness
suavidade	 mildness, gentleness
suaíli	 of the Swahili language
subagudo	 subacute
subalterno	 subordinate
subalterno	 subordinate
subalterno	 subaltern
subarrendamento	 subletting
subatómico	 subatomic
subconscientemente	 Not aware of relevant facts; subconsciously; unknowingly.
subcrítico	 subcritical
subdivisão	 subdivision
subgerente	 submanager (member of lower or middle management)
subir	 To ascend, to go up
subir	 To climb
subitamente	 all of a sudden
subjetivamente	 subjectively
subjetivo	 subjective
sublimar	 to sublime
sublimar	 to sublimate
sublimação	 sublimation
sublime	 First-person singular subjunctive present of sublimar.
sublime	 Third-person singular subjunctive present of sublimar.
sublime	 Third-person singular afirmative imperative of sublimar.
sublime	 Third-person singular negative imperative of sublimar.
submarino	 submarine; underwater
submergir	 To submerge
submerso	 underwater, submerged
submerso	 sunken
submeter	 To submit
submeter	 To subjugate
submetido	 subject (to)
submetido	 subjugated
submetralhadora	 submachine gun
submissão	 submission
submissão	 dependency
submissão	 humiliation
submundo	 underworld
subnível	 sublevel
subordem	 suborder
subordinação	 subordination
subornar	 to bribe
suborno	 bribe.
subproduto	 byproduct
subproduto	 spinoff
subscrever	 To subscribe
subscrever	 To underwrite
subscrever	 To undersign
subscritor	 subscriber
subscritor	 underwriter
subscrição	 subscription
subsequente	 subsequent, ensuing
subseção	 subsection
subsidiar	 to subsidize
subsidiário	 subsidiary
subsistir	 To subsist
subsistência	 subsistence
subsolo	 underground
subsolo	 subsoil
subsolo	 basement
substancial	 substantial
substancial	 basic, fundamental
substancialmente	 substantially
substantivado	 substantivized (turned into a noun)
substituinte	 substituent
substituição	 substitution, replacement
substituto	 replacement; substitute
substituto	 which replaces
substituível	 replaceable
substituível	 interchangeable
substituível	 fungible
substrato	 substrate
substrato	 substratum
substância	 substance; physical matter
subsídio	 subsidy.
subterrâneo	 subterranean, underground
subtraendo	 subtrahend.
subtração	 subtraction.
subvenção	 subvention
subvenção	 grant
subvenção	 subsidy
subversivo	 In opposition to a civil authority or government; subversive; insurgent.
subúrbio	 suburb
subúrbio	 periphery
sucata	 waste, scrap
sucata	 swarf
suceder	 to happen
suceder	 to succeed to, to follow
sucedâneo	 substitute
sucedâneo	 substitute
suceptibilidade	 susceptibility
sucessivamente	 successively
sucessivo	 successive, consecutive
sucesso	 success
sucessor	 successor
sucessor	 heir
sucessão	 succession
sucessão	 sequence
sucessível	 successive
sucessível	 successor (attributive)
sucinto	 succinct, brief, concise
sucuri	 anaconda
sudanês	 Sudanese
sudanês	 Sudanese
sudoeste	 southwest
suficientemente	 sufficiently
suficiência	 sufficiency, adequacy
suficiência	 competence
sufixo	 suffix (letters or sounds added at the end of a word to modify the word's meaning)
sufocamento	 suffocation
sufocante	 suffocating, stifling, oppressive
sufocar	 To choke, stifle
sufocar	 To suffocate
sufragista	 suffragist/suffragette
sufrágio	 suffrage
sugar	 to suck
sugerir	 to suggest
sugestão	 suggestion
suicida	 suicide (person).
suicídio	 suicide
sujeira	 something which causes things to become dirty, such as a speck of dust or a stain
sujeitar	 To subject
sujeitar	 To subjugate
sujeitar	 To subordinate
sujeito	 subject
sujeito	 guy, bloke
sujeito	 subject
sujeição	 subjection, subjugation
sujo	 Containing unpleasant substances such as dirt or grime; dirty; unclean.
sujo	 offensive|Offensive to current standards; dirty; obscene; immoral; dirty.
sul	 south
sulfamida	 sulfamide
sultão	 sultan
sumo	 highest, greatest.
sumo	 summit, top.
sumério	 Sumerian
sumério	 Sumerian
suntuário	 sumptuary
superado	 dominated
superado	 exceeded
superaquecido	 superheated
superaquecimento	 overheating
superar	 To exceed
superar	 To overcome
supercondutividade	 superconductivity
superficial	 shallow|Shallow, lacking substance.
superior	 upper, higher
superior	 better
superior	 boss
superior	 head of a monastery
superioridade	 superiority
superlativo	 superlative
superliga	 superalloy
superliga	 superleague
superposição	 superposition
supersticiosamente	 superstitiously
supersticioso	 superstitious
superstição	 superstition
supersônico	 supersonic
suplantar	 to overcome; to beat; to defeat
suplementar	 additional
suplementar	 supplementary
suplementar	 To supplement
suplementação	 supplementation
suplemento	 supplement
supletivo	 suppletive
suplicar	 to beg; to supplicate
suplício	 torment, suffering
suplício	 torture
supor	 to suppose
suportar	 to support
suportar	 to tolerate; put up with; take
suporte	 support; help; aid
suportável	 supportable, bearable, tolerable
supostamente	 supposedly
suposto	 supposed
suposto	 assumed
supremo	 dominant; supreme
supressor	 suppressor
supressão	 suppression
supressão	 removal, termination, cancellation
suprimento	 supply, provision
suprimir	 to eliminate; to get rid of
suprir	 To supply, provide
suprir	 To feed, provision
supérstite	 surviving
