100 mètres	 100 metres
tricoteur	 knitter
tricoteuse	 knitter (female)
trictrac	 a variant of backgammon, very popular during the XVIIth, XVIIIth centuries in aristocratic circles of France
trictrac	 the board used to play it
tricyclique	 tricyclic
tricycliste	 tricyclist
tridi	 The third day of the ten-day week in the w:French Republican Calendar|French Republican Calendar.
tridimensionnel	 three-dimensional
triennal	 triennial, three-yearly
trier	 to sort, to sort out
trier	 to grade; to calibrate
trieur	 sorter, grader (person; machine (feminine only))
trieuse	 sorter, grader (person (female), machine))
trigonométrie	 trigonometry
trilatéral	 trilateral
trilingue	 trilingual
trilliard	 10<sup>21</sup>, a thousand billion billion by the w:Long and short scales|long scale, a w:Long and short scales|short scale sextillion.
trillion	 10<sup>18</sup>; a w:Long and short scales|long scale trillionEnglish|trillion; a w:Long and short scales|short scale quintillion.
trillionième	 trillionth
trilogie	 trilogy
trimestre	 quarter
trimestre	 (of pregnancy) trimester
trimestriel	 Every three months.
trimoteur	 three-engined aircraft
tringle	 rod
trinquage	 toasting
trinquer	 to chink glasses, toast
trinucléaire	 trinuclear
triolisme	 threesome, threeway (a sexual activity involving three people)
triomphal	 triumphant
triomphalement	 triumphantly
triomphalisme	 triumphalism
triomphaliste	 triumphalist
triomphant	 triumphant
triomphateur	 victor, winner
triomphateur	 triumphant
triomphe	 triumph
triompher	 to triumph
trioxygène	 trioxygen
triparti	 tripartite
tripartisme	 tripartism
triperie	 tripe shop
tripes à la mode de Caen	 A recipe from Normandy made from the four stomachs of a cow, cider, calvados and various vegetables.
triphasique	 triphasic
triphasé	 three-phase
tripier	 tripe butcher
triple saut	 triple jump
triplement	 triply
triplet	 Noun|triplet (one of three siblings born at the same time)
tripode	 three-footed
tripolaire	 tripolar
triporteur	 three-wheeled delivery van
tripot	 dive (gambling den etc)
tripota	 ''third-person singular past historic form of tripoterFrench|tripoter''
tripotage	 fiddling, manipulation, jiggery-pokery
tripoter	 to fiddle with
tripou	 A tripe dish from Aveyron
triptyque	 triptych
trique	 cudgel, club, big stick
triquotidien	 thrice daily
trirème	 trireme (galley with three banks of oars)
trisannuel	 triennial
triskaidékaphobie	 triskaidekaphobia (fear of the number 13)
trisomie 21	 Down's syndrome (UK), Down syndrome (US)
trisomie	 trisomy
trisomique	 trisomic
triste	 sad
tristement	 sadly; gloomily
tristesse	 sadness
trithérapie	 triple therapy (having three components)
triton	 newt
triturage	 trituration
triturateur	 grinder
triturateur	 pulper
trivial	 ordinary, mundane
trivial	 colloquial (language)
trivialement	 trivially
trivialité	 triviality
trivialité	 mundaneness
trièdre	 trihedron
troc	 barter, swop
troglodytique	 troglodytic
troglodytique	 cave (attributive)
trognon	 core (of apple etc.)
trois	 three
troisième	 third
troisième	 third
troisième personne	 third person (all meanings)
troisièmement	 thirdly
trombe	 waterspout
trombinoscope	 facebook (directory of people with accompanying photographs)
tromblon	 blunderbuss
trombone	 paper clip
trombone	 ''first person singular'' of tromboner
trompa	 ''third-person singular past historic form of tromperFrench|tromper''
trompe	 trumpet
trompe	 trunk of an elephant
trompe	 squinch
tromper	 to deceive, to lead astray
tromper	 to trick
tromper	 to cheat on one's significant other
tromperie	 deception
trompette	 trumpet
trompettiste	 trumpeter (musician playing a trumpet)
trompeur	 deceitful
trompeur	 misleading
trompeusement	 deceitfully
trompeusement	 misleadingly
trompez	 ''second-person plural indicative present of tromper''
tronc cérébral	 brain stem
tronche	 brainiac; egghead
tronquer	 to truncate (shorten something as if by cutting off part of it)
tronquer	 to shorten, cut
tronqué	 truncated, shortened
tronçon	 slice, section
tronçonnage	 slicing, cutting
tronçonner	 to slice, to slice up
tronçonneuse	 chainsaw (saw with a power driven chain)
trop	 too; too much
trop de	 too|Too much, too many
trop-plein	 overflow, surplus
trophique	 trophic
trophée	 trophy
tropique	 tropic
tropisme	 A feeling of headrush 
troposphère	 troposphere
troposphérique	 tropospheric
troquer	 to barter (exchange goods or services without involving money)
troquet	 bar
trotskisme	 trotskyism (the political philosophy named after Leon Trotsky)
trotskiste	 Trotskyite (an advocate of the communist doctrines of Leon Trotsky)
trotskiste	 Trotskyite
trotskyste	 Trotskyist, Trotskyite
trotskyste	 Trotskyist, Trotskyite
trotteur	 trotter (horse)
trotteuse	 trotter (horse, mare)
trotteuse	 second hand (of a clock etc)
trottoir	 sidewalk (''US''), pavement (''UK''), footpath (''Australia'')
trou	 hole
trou du cul	 a card game, also called président
trou noir	 black hole (celestial body)
trou de nez	 nostril
trou de ver	 wormhole
trou normand	 eau-de-vie|Eau-de-vie, especially calvados, served as a middle course in a large meal.
trou de mémoire	 memory lapse, brain fart
troublant	 troubling, disturbing, unsettling
troubler	 to disturb, disrupt (order, sleep, judgement etc.)
troubler	 to disturb, to trouble (someone)
trouer	 to hole, pierce
trouillomètre	 fear meter (hypothetical device)
troupe	 troop
troupeau	 herd (of horses, bulls, elephants, buffalo etc.)
troupeau	 drove (of animals being transported)
troupeau	 flock (of sheep); gaggle (of geese)
troupier	 trooper
trousse	 kit (small handheld package containing a set of tools for a particular purpose)
trousse	 pencil case
trousseau	 bunch (of keys)
troussequin	 cantle (raised back part of a saddle)
trouva	 ''third-person singular past historic form of trouver''; found
trouvable	 occurring, current
trouvaille	 find; lucky find
trouvais	 ''first-person singular imperfect indicative form of '''trouverFrench|trouver'''''
trouvais	 ''second-person singular imperfect indicative form of '''trouverFrench|trouver'''''
trouvait	 ''third-person singular imperfect indicative form of trouver''; found, was finding, used to find
trouvera	 ''third-person singular simple future form of trouverFrench|trouver''
trouverait	 ''third-person singular conditional form of trouverFrench|trouver''
trouverez	 ''simple future vous form of trouverFrench|trouver''
trouveur	 A finder; discoverer
trouveur	 An inventor, creator
trouvez	 ''second-person plural indicative present of trouver''
trouvé	 ''past participle of trouver''; found
trouvé	 found, being to object of a find(ing)
trouvé	 invented, thought-up, imagined
trouvé	 found and somehow taken in, as said of a foundling
troué	 holed; full of holes
troyen	 of or from Troy
troyen	 of or from Troyes
troyen	 of or from w:Troye-d'Ariège|Troye-d'Ariège
troène	 privet
truand	 crook; gangster, mobster
truander	 To con or cheat
trublion	 troublemaker
truc	 procedure, technique
truc	 thingamajig, thingy, thing
truc	 trick
trucage	 rigging, doctoring (especially fraudulent)
truchement	 intermediary
trucmuche	 thing, thingy, thingamajig
trucmuche	 John Doe.
truculent	 Violent or belligerent in a colorful, over-the-top or memorable fashion.
truelle	 trowel (mason's tool)
truffe	 truffle
truffer	 to add truffles to
truffer	 to cram, stuff
truie	 sow (female pig)
truisme	 truism
truite	 trout
truite arc-en-ciel	 rainbow trout (''Salmo gairdneri'')
trumeau	 pier glass
truquer	 to tamper with, to fiddle, to falsify
truquer	 to trick
truquer	 to fix, rig (e.g. elections, a sports match)
truqueur	 trickster
truqueuse	 trickster (female)
trusquin	 marking gauge
trusquiner	 to mark out with a marking gauge
trèfle	 clover
très	 very
très bien	 very good
très bien	 excellent
trébuchant	 stumbling
trébuchant	 tottering
trébuchet	 trebuchet
tréfilage	 drawing (of wire)
tréma	 A trema, a diaeresis mark ( ¨ ).
trémie	 hopper
trémière	 hollyhock
trémor	 tremor
trémoussement	 fluttering
trémousser	 to jig, jiggle
trémulation	 tremor, trembling, shaking
trépan	 drill
trépidant	 hectic
trépidation	 trembling
trépidation	 vibration
trépidation	 shudder
trépider	 To vibrate
trépider	 To shudder
trépignement	 stamping (of feet)
trésor	 treasure (valuables)
trésor	 treasure (any single thing one values greatly)
trésor	 treasure (term of endearment)
trésor	 treasury
trésorerie	 accounts department
trésorerie	 treasury
trésorier	 treasurer (official entrusted with the funds and revenues of an organisation)
trésorier-payeur général	 paymaster
tréteau	 sawhorse
trêve	 rest, respite
trône	 throne (royal seat)
tsarien	 tsarian
tsarine	 tsarina
tsarisme	 tsarism
tsariste	 tsarist
tsimané	 the Tsimané language
tsolyáni	 the Tsolyáni language
tu	 you (singular); thou
tu me manques	 I miss you.
tuable	 killable
tuba	 snorkel
tubage	 intubation
tubage	 tubing
tube	 pipe
tube à essai	 test tube
tuber	 to makeVerb|make into a tube shape
tuber	 to putVerb|put into a tube
tuberculeux	 tubercular
tuberculine	 tuberculin
tubulaire	 tubular
tueur	 killer.
tueur à gages	 hitman.
tueur de masse	 mass murderer.
tueur en série	 mass murderer.
tuilage	 curling
tuilage	 cupping, dishing
tuile	 tile
tuilerie	 tilery
tulipe	 tulip
tumeur	 tumor
tumulte	 A sudden burst of noise; uproar, commotion, tumult; turmoil.
tumultueusement	 tumultuously
tumultueux	 tumultuous
tuméfier	 to tumefy
tuner	 Noun|tuner (TV, radio)
tungstène	 tungsten (chemical element)
tunique	 a tunic
tunisien	 Tunisian, relating to Tunisia
tunisois	 Tunisian
tupi	 Tupi
tupi	 Tupi (the Tupi language)
turbin	 the daily grind
turbine	 turbine
turbiner	 to churn
turbomoteur	 turbine (engine)
turbopropulseur	 turboprop
turboréacteur	 turbojet
turbulences	 turbulence
turbulent	 unruly
turc	 Turkish; from, or pertaining to, Turkey
turc	 Turkish; the Turkish language
turcophone	 Turkophone
turcophone	 Turkophone
turfiste	 punter, racegoer
turgescence	 swelling
turgescence	 turgor
turinois	 Turinese
turkmène	 Turkmen
turluter	 to hum
tus	 Plural past participle of taire.
tussack	 tussock
tutelle	 guardianship
tuteur	 guardian
tuteurer	 to fit out with a tuteur
tutoyer	 to address (someone) using ''tuFrench|tu'', to thou
tutélaire	 tutelary
tutélaire	 guardian (used attributively)
tuyau	 pipe
tuyau	 tube
tuyauterie	 piping, tubing, intubation
tuyauterie	 plumbing
tuyère	 An air vent in the masonry of a metallurgic oven
tuyère	 The back chamber of a combustion engine where the gas decompresses
tympan	 eardrum, tympanum
typage	 typing (assigning by type)
typage	 the casting of actors based on their physical or personal similarity to a character
type	 typical, normal, classic
typhon	 typhoon (hurricane in the Pacific)
typhoïde	 typhoid
typhoïde	 typhoid fever
typicité	 typicity, typicalness
typique	 typical
typiquement	 typically
typographe	 typographer
typographie	 typography
typographique	 typographic, typographical
typolithographie	 typolithography
typologie	 typology, genre
typologique	 typological
typé	 stereotypical
tyran	 tyrant
tyran	 bully
tyranneau	 Petty tyrant
tyrannique	 tyrannical
tyranniser	 to tyrannise
tyrannosaure	 Tyrannosaurus rex
tyrannosaure	 tyrannosaur
tyroglyphe de la farine	 cheese mite (''Acarus siro'')
tyrolien	 Tyrolean
tyrolienne	 Tyrolean (someone female from Tyrol)
tyrolienne	 yodeling (type of singing)
tyrolienne	 zip-wire
tyrolienne	 mortar sprayer, Tyrolean gun
tâche	 task
tâcheron	 tasker
tâter	 to get a feel for
tâtonnement	 groping
tâtonnement	 trial and error
tébioctet	 tebibyte
téflon	 teflon (or similar material)
tégestophile	 tegestologist
tégestophilie	 tegestology
tégument	 integument, tegument
télescopage	 telescoping
télescopage	 smash, crash
télescoper	 To telescope
télescoper	 To crash (into) or clash (with)
télescopique	 telescopic
télex	 telex
télexer	 To telex
télexiste	 telex operator
télougou	 Telugu
télé	 TV, telly
téléachat	 teleshopping
télébenne	 gondola (of a cable car)
télécabine	 cable car (or a gondola of such a system)
télécarte	 phonecard
téléchargeable	 downloadable
téléchargeable	 uploadable
télécharger	 to download
télécharger	 to upload
téléchargeur	 downloader (person who downloads)
télécom	 telecom
télécommande	 remote control
télécommander	 To operate a remote control
télécommunication	 telecommunication
télécommunications	 telecommunications
téléconférence	 teleconference
télécopie	 fax
télédiffuser	 To televise (broadcast on TV)
télédiffusion	 (television) broadcasting
télédistribution	 cable (system for supplying TV, broadband etc)
télédéclaration	 online filing of a tax return
télédétection	 remote sensing
téléenseignement	 distance learning
téléfilm	 feature-length televised drama
télégrammatique	 telegrammatic
télégramme	 telegram
télégraphe	 telegraph
télégraphie	 telegraphy
télégraphier	 to telegraph
télégraphique	 telegraphic
télégraphiste	 telegraphist
téléguider	 to control by remote control
télégénique	 telegenic
télékinésie	 psychokinesis (controlled movement of an inanimate object by the use of psychic powers)
télémarketing	 telemarketing
télématique	 telematics
télématique	 telematic
télémètre	 telemeter, rangefinder
télémédecine	 telemedicine
télémétrie	 rangefinding
télémétrie	 telemetry
téléopérateur	 teleoperator
téléopérateur	 call centre operator
télépaiement	 online payment
télépathe	 telepath
télépathique	 telepathic (able to communication with the mind)
téléphobe	 A TV-phobic person; one who dislikes television.
